,Nava Representation,Tokenized Lemmatized
247,"[u'dead', u'say']","[u'over', u'my', u'dead', u'body', u'i', u'said']"
248,"[u'make', u'vow', u'fight', 'not_pick']","[u'bernice', u'made', u'a', u'vow', u'never', u'to', u'pick', u'a', u'fight', u'with', u'him']"
249,"[u'pick', u'hole', u'religion']","[u'don', u't', u'you', u'pick', u'holes', u'in', u'my', u'religion']"
250,"[u'might', u'wrong', u'sit', u'fence', u'see', u'get', u'trouble', 'not_think']","[u'i', u'might', u'be', u'wrong', u'but', u'i', u'do', u'not', u'think', u'so', u'but', u'i', u'have', u'to', u'sit', u'on', u'the', u'fence', u'you', u'see', u'as', u'i', u'get', u'into', u'trouble']"
251,"[u'split', u'hair']","[u'don', u't', u'split', u'hairs']"
252,"[u'ad', u'man', u'opposite', u'cast', u'meaningful', u'evening', u'likeliest', u'seem', u'get', u'catch', u'crossfire']","[u'the', u'ad', u'man', u'opposite', u'had', u'been', u'casting', u'meaningful', u'glances', u'at', u'her', u'all', u'evening', u'and', u'the', u'likeliest', u'explanation', u'seemed', u'to', u'be', u'that', u'she', u'and', u'roger', u'were', u'doing', u'a', u'number', u'together', u'and', u'i', u'had', u'inadvertently', u'got', u'caught', u'in', u'the', u'crossfire']"
253,"[u'wonder', u'storm', u'leave', u'stifle', u'steamy', u'storm', u'suppose', u'clear', u'air']","[u'they', u'wondered', u'why', u'it', u'was', u'that', u'the', u'storm', u'had', u'left', u'them', u'in', u'this', u'stifling', u'steamy', u'condition', u'when', u'storms', u'were', u'supposed', u'to', u'clear', u'the', u'air']"
254,"[u'get', u'get', u'girl', u'hammer', u'tongs']","[u'no', u'we', u'have', u'got', u'we', u'have', u'got', u'twenty', u'or', u'thirty', u'girls', u'back', u'there', u'hammer', u'and', u'tongs']"
255,"[u'body', u'loggerhead', u'constant', u'method']","[u'the', u'two', u'bodies', u'are', u'often', u'at', u'loggerheads', u'and', u'there', u'are', u'constant', u'disputes', u'over', u'methods']"
256,"[u'today', u'world', u'top', u'giant', u'slalom', u'lock', u'horn', u'vital', u'early', u'battle', u'end', u'next']","[u'today', u'the', u'world', u's', u'top', u'giant', u'slalom', u'men', u'lock', u'horns', u'for', u'vital', u'early', u'points', u'in', u'the', u'world', u'cup', u'battle', u'which', u'ends', u'next', u'march', u'in', u'sweden']"
257,"[u'start', u'work', u'movie', u'version', u'bard', u'famous', u'much', u'nothing', 'not_wait']","[u'and', u'he', u'cannot', u'wait', u'to', u'start', u'work', u'on', u'a', u'movie', u'version', u'of', u'the', u'bard', u's', u'famous', u'play', u'much', u'ado', u'about', u'nothing']"
258,"[u'hell', u'break']","[u'all', u'hell', u'broke', u'loose']"
259,"[u'alter', u'ego', u'remain', u'bone', u'contention']","[u'but', u'ilona', u's', u'alter', u'ego', u'remains', u'a', u'bone', u'of', u'contention', u'between', u'them']"
260,"[u'will', u'bury', u'hatchet', u'dance']","[u'will', u'you', u'bury', u'the', u'hatchet', u'for', u'a', u'while', u'and', u'dance', u'with', u'me']"
261,"[u'tempt', u'call', u'bluff', u'able', u'believe', u'would', u'carry', u'threat']","[u'she', u'was', u'tempted', u'to', u'call', u'his', u'bluff', u'hardly', u'able', u'to', u'believe', u'he', u'would', u'carry', u'out', u'his', u'threat']"
262,"[u'service', u'book', u'thing', u'conference', u'suggest', u'consider', u'cross', u'put', u'correct', u'non', u'sexist', u'bet', u'percent', u'church', u'would', u'arm']","[u'now', u'if', u'we', u'were', u'actually', u'to', u'do', u'that', u'in', u'our', u'service', u'books', u'which', u'is', u'what', u'one', u'of', u'the', u'things', u'that', u'the', u'methodist', u'conference', u'suggests', u'we', u'consider', u'just', u'crossing', u'out', u'and', u'putting', u'in', u'the', u'correct', u'non', u'sexists', u'language', u'i', u'bet', u'you', u'that', u'eighty', u'percent', u'of', u'our', u'church', u'would', u'be', u'up', u'in', u'arms']"
263,"[u'somebody', u'black', u'object']","[u'somebody', u's', u'in', u'a', u'black', u'mood', u'they', u'were', u'objecting', u'to', u'that']"
264,"[u'electronic', u'could', u'blow', u'fuse', u'play']","[u'the', u'electronic', u'scoreboard', u'at', u'leeds', u'road', u'could', u'blow', u'a', u'fuse', u'when', u'the', u'aussies', u'play', u'us', u'next', u'month']"
265,"[u'bit', u'cheesed']","[u'you', u're', u'a', u'bit', u'cheesed', u'off', u'are', u'you', u'teresa']"
266,"[u'fly', u'handle', 'not_want']","[u'but', u'i', u'do', u'not', u'want', u'you', u'to', u'fly', u'off', u'the', u'handle']"
267,"[u'bristle', u'sea', u'lift', u'flesh', u'back', u'foam', u'mouth', u'drop', u'head', u'sniff', u'track']","[u'meanwhile', u'the', u'bristling', u'bloodhounds', u'of', u'the', u'sea', u'lift', u'the', u'flesh', u'along', u'their', u'backs', u'foam', u'at', u'the', u'mouth', u'dramatically', u'and', u'drop', u'their', u'heads', u'to', u'sniff', u'for', u'tracks']"
268,"[u'use', u'get', u'nerve']","[u'oh', u'yeah', u'yeah', u'used', u'to', u'get', u'on', u'my', u'nerves']"
269,"[u'officer', u'say', u'glove', u'battle', u'compensation', u'sport', u'complex']","[u'officers', u'at', u'darlington', u'borough', u'council', u'say', u'the', u'gloves', u'are', u'off', u'in', u'the', u'battle', u'for', u'compensation', u'over', u'the', u'town', u's', u'12m', u'dolphin', u'centre', u'sports', u'complex']"
270,"[u'meet', u'new', u'try', u'assess', u'maturity', u'order', u'judge', u'might', u'go', u'deep', u'success']","[u'if', u'i', u'meet', u'a', u'new', u'act', u'i', u'always', u'try', u'and', u'assess', u'their', u'maturity', u'in', u'order', u'to', u'judge', u'whether', u'they', u'might', u'go', u'off', u'the', u'deep', u'end', u'as', u'soon', u'as', u'they', u'have', u'success']"
271,[u'spare'],"[u'he', u'd', u'go', u'spare']"
272,"[u'top', u'injury', u'insurance', u'set', u'go', u'roof']","[u'now', u'on', u'top', u'of', u'her', u'injuries', u'her', u'insurance', u'is', u'set', u'to', u'go', u'through', u'the', u'roof']"
273,"[u'harp', u'lot', u'money', u'spend']","[u'well', u'he', u'did', u'rather', u'harp', u'on', u'what', u'a', u'lot', u'of', u'money', u'he', u'spent']"
274,"[u'hear', u'fire', u'eater', u'could', u'meet', u'old', u'make', u'hot', u'collar', 'not_go']","[u'hey', u'd', u'you', u'hear', u'about', u'the', u'fire', u'eater', u'who', u'could', u'not', u'go', u'anywhere', u'without', u'meeting', u'an', u'old', u'flame', u'made', u'him', u'feel', u'really', u'hot', u'under', u'the', u'collar']"
275,"[u'plan', u'performance', u'anything', u'last', u'kick', u'miss']","[u'they', u'plan', u'to', u'be', u'back', u'in', u'europe', u'in', u'october', u'or', u'november', u'and', u'if', u'their', u'performances', u'are', u'anything', u'like', u'the', u'last', u'london', u'one', u'you', u'will', u'kick', u'yourself', u'for', u'missing', u'them']"
276,"[u'can', u'mind']","[u'can', u't', u'you', u'mind', u'your', u'own', u'business']"
277,"[u'quick', u'flare', u'nothing', u'new']","[u'this', u'quick', u'temper', u'that', u'flared', u'at', u'nothing', u'that', u'was', u'new']"
278,"[u'term', u'rant', u'rave', u'aggressive', 'not_long', 'not_get']","[u'in', u'terms', u'of', u'how', u'rant', u'and', u'rave', u'for', u'probably', u'not', u'very', u'long', u'and', u'you', u'do', u'not', u'get', u'aggressive', u'behaviour']"
279,"[u'glance', u'muscular', u'ruddy', u'hem', u'pleated', u'make', u'mind', u'attempt', u'spank', u'would', u'scream', u'blue']","[u'glancing', u'at', u'those', u'muscular', u'knees', u'ruddy', u'beneath', u'the', u'hem', u'of', u'his', u'pleated', u'tunic', u'she', u'made', u'up', u'her', u'mind', u'that', u'if', u'he', u'ever', u'attempted', u'to', u'spank', u'her', u'again', u'she', u'would', u'scream', u'blue', u'murder']"
280,"[u'could', u'see', u'red', u'swim', u'pool', u'race', u'track', u'skyscraper', u'stick', u'teeth', u'road', u'railway', u'crisscross', u'seem', u'tile', u'vast', u'kitchen']","[u'now', u'she', u'could', u'see', u'red', u'houses', u'swimming', u'pools', u'race', u'tracks', u'skyscrapers', u'sticking', u'up', u'like', u'teeth', u'and', u'roads', u'and', u'railways', u'so', u'uniformly', u'crisscross', u'they', u'seemed', u'like', u'tiles', u'on', u'a', u'vast', u'kitchen', u'floor']"
281,"[u'my', u'glass', u'steam']","[u'my', u'glasses', u'are', u'all', u'steamed', u'up']"
282,"[u'do', u'want', u'eat', u'shit', u'word', u'stick', u'throat', u'choke']","[u'did', u'he', u'want', u'me', u'to', u'eat', u'shit', u'or', u'the', u'words', u'stick', u'in', u'my', u'throat', u'and', u'choke', u'me']"
283,"[u'make', u'blood', u'boil', u'sacrilege']","[u'it', u'makes', u'my', u'blood', u'boil', u'it', u'is', u'sacrilege']"
284,"[u'mean', u'right', u'riff', u'raff', u'go', u'old', u'go']","[u'well', u'i', u'mean', u'now', u'basically', u'the', u'right', u'question', u'about', u'a', u'riff', u'raff', u'goes', u'back', u'to', u'the', u'old', u'idea', u'whether', u'you', u'are', u'going', u'too', u'far']"
285,"[u'mighty', u'take', u'biscuit']","[u'clive', u'anderson', u'o', u'while', u'the', u'mighty', u'sultans', u'take', u'the', u'biscuit']"
286,"[u'ration', u'reduce', u'last']","[u'when', u'the', u'rations', u'were', u'yet', u'again', u'reduced', u'that', u'was', u'really', u'the', u'last', u'straw']"
287,"[u'bated', u'try', u'make', u'invisible', u'wait', u'pass', u'alcove', u'make', u'way']","[u'with', u'bated', u'breath', u'and', u'trying', u'to', u'make', u'herself', u'invisible', u'joan', u'waited', u'for', u'them', u'to', u'pass', u'the', u'alcove', u'and', u'make', u'their', u'way', u'downstairs']"
288,"[u'enough', u'make', u'break', u'cold']","[u'it', u'is', u'enough', u'to', u'make', u'you', u'break', u'out', u'in', u'a', u'cold', u'sweat']"
289,"[u'bundle', u'nerve', 'not_wonder']","[u'no', u'wonder', u'she', u'is', u'bundle', u'of', u'nerves']"
290,"[u'hop', u'cat', u'hot', u'demand', u'something', u'do', u'do', 'not_more']","[u'fortescue', u'is', u'hopping', u'like', u'a', u'cat', u'on', u'hot', u'bricks', u'demanding', u'something', u'should', u'be', u'done', u'but', u'he', u'has', u'no', u'more', u'idea', u'than', u'i', u'what', u'can', u'be', u'done']"
291,"[u'hold', u'breath', u'minute']","[u'yeah', u'or', u'hold', u'your', u'breath', u'for', u'fifteen', u'to', u'thirty', u'minutes']"
292,"[u'leg', u'stiff', u'pin', u'needle', u'thing']","[u'you', u'get', u'your', u'legs', u'get', u'stiff', u'you', u'get', u'pins', u'and', u'needles', u'and', u'things', u'like', u'that']"
293,"[u'put', u'clock', u'see', u'go', u'tongue', u'tie', u'anonymous', u'different']","[u'put', u'it', u'on', u'at', u'seven', u'of', u'the', u'clock', u'er', u'emmerdale', u'farm', u'but', u'you', u'see', u'when', u'it', u'goes', u'on', u'you', u'feel', u'as', u'though', u'you', u'are', u'tongue', u'tied', u'all', u'be', u'completely', u'anonymous', u'these', u'are', u'all', u'same', u'but', u'they', u'are', u'different']"
294,"[u'trip', u'loo', u'bring', u'mind', u'childhood', u'phrase', u'ant', u'pant']","[u'a', u'trip', u'to', u'the', u'loo', u'brought', u'to', u'mind', u'the', u'childhood', u'phrase', u'ants', u'in', u'your', u'pants']"
295,"[u'think', u'article', u'hit', u'home', u'cause', u'stir', u'stir', u'create', u'time', u'write', u'cabin', u'confine', u'life', u'capital', u'poor']","[u'i', u'think', u'that', u'these', u'articles', u'will', u'hit', u'home', u'cause', u'a', u'stir', u'such', u'a', u'stir', u'as', u'henry', u'mayhew', u'created', u'some', u'time', u'ago', u'when', u'he', u'too', u'wrote', u'of', u'the', u'cabined', u'and', u'confined', u'lives', u'of', u'the', u'capital', u's', u'poor']"
296,[u'eager'],"[u'bernie', u's', u'such', u'an', u'eager', u'beaver']"
297,"[u'sit', u'edge', u'seat', u'jump', u'shout']","[u'i', u'was', u'sitting', u'on', u'the', u'edge', u'of', u'my', u'seat', u'jumping', u'up', u'and', u'down', u'shouting']"
298,"[u'her', u'leg', u'tremble', u'stroke', u'desire', u'thigh', u'craze', u'need', u'fever', u'pitch']","[u'her', u'legs', u'trembled', u'as', u'his', u'strokes', u'of', u'desire', u'on', u'her', u'thighs', u'crazed', u'her', u'need', u'to', u'fever', u'pitch']"
299,"[u'million', u'carers', u'argue', u'bear', u'brunt', u'job', u'recognition', u'proper']","[u'millions', u'of', u'carers', u'argue', u'that', u'they', u'bear', u'the', u'brunt', u'of', u'the', u'job', u'without', u'recognition', u'or', u'proper', u'payment']"
300,"[u'bent', u'shape', u'nobody', u'know', u'different', u'everyone', u'think', u'regular']","[u'the', u'only', u'thing', u'i', u'am', u'bent', u'out', u'of', u'shape', u'about', u'is', u'that', u'nobody', u'knows', u'it', u'is', u'a', u'different', u'pickup', u'everyone', u'thinks', u'it', u'is', u'a', u'regular', u'trembucker']"
301,"[u'know', u'absolute', u'bored', u'tear']","[u'you', u'know', u'because', u'it', u'was', u'absolute', u'i', u'was', u'bored', u'to', u'tears']"
302,"[u'say', u'close', u'home', u'could']","[u'she', u'says', u'it', u'was', u'too', u'close', u'to', u'home', u'and', u'it', u'could', u'easily', u'have', u'been', u'them']"
303,"[u'watch', u'friendship', u'come', u'seam', u'life', u'promise', u'collapse', u'weight', u'illness', u'despair', u'disillusion', u'reckless']","[u'we', u'watch', u'as', u'friendships', u'come', u'apart', u'at', u'the', u'seams', u'as', u'lives', u'of', u'promise', u'collapse', u'under', u'the', u'weight', u'of', u'illness', u'or', u'despair', u'or', u'disillusion', u'but', u'there', u'is', u'a', u'reckless', u'exhilaration', u'about', u'it', u'all']"
304,"[u'cut', u'quick', u'accusation']","[u'she', u'was', u'cut', u'to', u'the', u'quick', u'by', u'the', u'accusation']"
305,"[u'soft', u'void', u'fill', u'air', u'roll', u'agony', u'fish', u'water']","[u'the', u'soft', u'sound', u'of', u'voiding', u'filled', u'the', u'air', u'as', u'he', u'rolled', u'over', u'in', u'agony', u'like', u'a', u'fish', u'out', u'of', u'water']"
306,"[u'morning', u'get', u'fit', u'pique', u'expect', u'apology', 'not_know']","[u'well', u'in', u'the', u'morning', u'when', u'you', u'have', u'got', u'over', u'your', u'fit', u'of', u'pique', u'about', u'i', u'do', u'not', u'know', u'what', u'i', u'will', u'expect', u'an', u'apology', u'from', u'you']"
307,"[u'sake', u'woman', u'get', u'grip']","[u'for', u'pete', u's', u'sake', u'woman', u'get', u'a', u'grip', u'on', u'yourself']"
308,"[u'let', u'get', u'work']","[u'don', u't', u'let', u'him', u'get', u'worked', u'up']"
309,"[u'decent', u'go', u'piece', u'father', u'turn']","[u'mike', u'waterlane', u's', u'their', u'only', u'decent', u'player', u'and', u'he', u'will', u'go', u'to', u'pieces', u'as', u'soon', u'as', u'his', u'father', u'turns', u'up']"
310,"[u'nail', u'real', u'money']","[u'hard', u'as', u'nails', u'a', u'real', u'bugger', u'particularly', u'about', u'money']"
311,"[u'parent', u'british', u'say', u'heart', 'not_change']","[u'but', u'parents', u'british', u'aerospace', u'say', u'no', u'change', u'of', u'heart']"
312,"[u'get', u'lump', u'throat', u'ache', u'heart', u'sensation', u'nausea', u'stomach', 'not_tell']","[u'you', u'do', u'not', u'tell', u'me', u'it', u'is', u'because', u'you', u'have', u'got', u'a', u'lump', u'in', u'your', u'throat', u'or', u'an', u'ache', u'in', u'your', u'heart', u'or', u'a', u'sensation', u'of', u'nausea', u'in', u'your', u'stomach']"
313,"[u'tell', u'think', u'club', 'not_hard']","[u'i', u'told', u'him', u'there', u'were', u'no', u'hard', u'feelings', u'and', u'that', u'i', u'was', u'only', u'thinking', u'of', u'the', u'club']"
314,"[u'my', u'bet', u'please', u'punch']","[u'my', u'bet', u'is', u'peachcake', u'll', u'be', u'pleased', u'as', u'punch']"
315,"[u'successful', u'speak', u'volume']","[u'the', u'8', u'successful', u'trips', u'so', u'far', u'speak', u'volumes']"
316,"[u'need', u'let', u'steam']","[u'i', u'need', u'to', u'let', u'off', u'steam']"
317,"[u'good', u'go', u'apply', u'gent', u'swallow', u'pride', u'get', u'somebody', 'not_are']","[u'if', u'you', u'are', u'good', u'at', u'do', u'it', u'yourself', u'then', u'fine', u'have', u'a', u'go', u'if', u'you', u'are', u'not', u'this', u'particularly', u'applies', u'to', u'the', u'gents', u'swallow', u'your', u'pride', u'and', u'get', u'somebody', u'in', u'to', u'do', u'it', u'for', u'you']"
318,"[u'musical', u'river', u'tree', u'whisper', u'sweet', u'pass']","[u'how', u'musical', u'the', u'river', u'and', u'how', u'charming', u'the', u'trees', u'whispering', u'sweet', u'nothings', u'as', u'we', u'pass']"
319,"[u'device', u'desire', u'large', u'plastic', u'excretion', u'meditation', u'saying', u'wear', u'heart', u'sleeve']","[u'devices', u'and', u'desires', u'a', u'large', u'concrete', u'and', u'plastic', u'excretion', u'results', u'from', u'allen', u's', u'meditations', u'on', u'the', u'saying', u'wear', u'your', u'heart', u'on', u'your', u'sleeve']"
320,"[u'extraordinary', u'day', u'wander', u'forest', u'catch', u'glimpse', u'hold', u'breath', u'thank', u'lucky', u'know', u'except', u'see', 'not_one']","[u'but', u'if', u'by', u'some', u'extraordinary', u'chance', u'you', u'should', u'one', u'day', u'wander', u'into', u'a', u'forest', u'and', u'catch', u'a', u'glimpse', u'of', u'a', u'minpin', u'then', u'hold', u'your', u'breath', u'and', u'thank', u'your', u'lucky', u'stars', u'because', u'up', u'to', u'now', u'so', u'far', u'as', u'i', u'know', u'no', u'one', u'excepting', u'little', u'billy', u'has', u'ever', u'seen', u'one']"
321,"[u'aspirin', u'sweat', u'chill']","[u'it', u's', u'probably', u'the', u'aspirin', u'sweating', u'the', u'chill', u'out']"
322,"[u'element', u'come']","[u'i', u'was', u'absolutely', u'in', u'my', u'element', u'how', u'did', u'i', u'come', u'over', u'jannie']"
323,"[u'feast', u'eye', u'win', u'municipal', u'park']","[u'just', u'feast', u'your', u'eyes', u'on', u'chichester', u's', u'winning', u'municipal', u'car', u'park']"
324,"[u'men', u'prop', u'bar', u'lunch', u'bewail', u'loss', u'earlier', u'footloose', u'fancy', u'free']","[u'men', u'propping', u'up', u'the', u'bar', u'over', u'lunch', u'will', u'bewail', u'the', u'loss', u'of', u'earlier', u'freedoms', u'when', u'they', u'were', u'footloose', u'and', u'fancy', u'free']"
325,"[u'eating', u'end', u'drinking', u'full']","[u'the', u'eating', u'had', u'ended', u'and', u'the', u'drinking', u'was', u'in', u'full', u'swing']"
326,"[u'full', u'joy', u'spring', u'moment', u'make', u'harmonious']","[u'you', u're', u'full', u'of', u'the', u'joys', u'of', u'spring', u'at', u'the', u'moment', u'so', u'make', u'the', u'most', u'of', u'this', u'harmonious', u'period']"
327,"[u'attend', u'wedding', u'party', u'close', u'time', u'life']","[u'if', u'attending', u'a', u'wedding', u'or', u'party', u'of', u'close', u'friends', u'you', u'should', u'have', u'the', u'time', u'of', u'your', u'life']"
328,"[u'friend', u'say', u'get', u'sit', u'think', u'get', u'complete', u'whale', u'time', u'try', u'read', u'pick', u'book', u'norwegian']","[u'me', u'friend', u'over', u'in', u'norway', u'she', u'said', u'she', u'is', u'she', u'got', u'over', u'there', u'and', u'sat', u'down', u'and', u'she', u'thought', u'yes', u'she', u'is', u'got', u'the', u'complete', u'works', u'of', u'shakespeare', u'i', u'will', u'have', u'a', u'whale', u'of', u'a', u'time', u'trying', u'to', u'read', u'it', u'she', u'picks', u'up', u'the', u'book', u'it', u'is', u'all', u'in', u'norwegian']"
329,"[u'let', u'your', u'hair', u'boast', u'riff', u'vocal']","[u'let', u'your', u'hair', u'down', u'boasts', u'a', u'beatles', u'riff', u'and', u'a', u'michael', u'hutchence', u'vocal']"
330,"[u'take', u'boy', u'see', u'jolly', u'life', u'soul', u'party', u'want']","[u'right', u'sergeant', u'you', u'take', u'your', u'boy', u'elsewhere', u'and', u'i', u'will', u'see', u'what', u'jolly', u'jacko', u'the', u'life', u'and', u'soul', u'of', u'the', u'party', u'wants']"
331,"[u'want', u'good', u'paint', u'town', u'red', u'weekend']","[u'you', u'want', u'to', u'have', u'a', u'good', u'time', u'and', u'paint', u'the', u'town', u'red', u'this', u'weekend']"
332,[u'party'],"[u'the', u'party', u'is', u'over']"
333,"[u'say', u'think', u'pull', u'leg']","[u'well', u'i', u'said', u'i', u'think', u'he', u'was', u'pulling', u'your', u'leg']"
334,"[u'pull', u'get', u'bell']","[u'pull', u'the', u'other', u'one', u'jo', u'it', u'is', u'got', u'bells', u'on', u'it']"
335,"[u'tell', u'go', u'take', u'know']","[u'he', u'probably', u'was', u'told', u'to', u'go', u'home', u'and', u'take', u'it', u'easy', u'you', u'know']"
336,"[u'cloud', u'stay', u'include', u'fly', u'lesson', u'balloon', u'flight', u'helicopter', u'lesson']","[u'dorothy', u'snook', u'of', u'bristol', u'will', u'be', u'on', u'cloud', u'nine', u'after', u'a', u'stay', u'at', u'the', u'hereford', u'moat', u'hotel', u'which', u'includes', u'flying', u'lessons', u'a', u'balloon', u'flight', u'and', u'a', u'helicopter', u'lesson']"
337,"[u'suppose', u'bit', u'dump', u'apprehensive', u'celebrate']","[u'she', u'supposed', u'she', u'was', u'feeling', u'a', u'bit', u'down', u'in', u'the', u'dumps', u'apprehensive', u'too', u'about', u'celebrating', u'christmas', u'day', u'at', u'the', u'danbys']"
338,"[u'look', u'mouth', 'not_seen']","[u'he', u'had', u'never', u'seen', u'karr', u'looking', u'so', u'down', u'in', u'the', u'mouth']"
339,"[u'grin', u'ear', u'ear', u'point', u'finger', u'fly']","[u'he', u'was', u'grinning', u'from', u'ear', u'to', u'ear', u'and', u'pointing', u'his', u'finger', u'up', u'to', u'the', u'flies']"
340,"[u'reason', u'cheesemakers', u'saw', u'fit', u'add', u'grin', u'product', u'expression', u'grin', u'use', u'reason']","[u'the', u'reason', u'why', u'the', u'cheshire', u'cheesemakers', u'saw', u'fit', u'to', u'add', u'a', u'grinning', u'cat', u'to', u'their', u'product', u'was', u'because', u'the', u'expression', u'to', u'grin', u'like', u'a', u'cheshire', u'cat', u'was', u'already', u'in', u'use', u'for', u'another', u'reason', u'altogether']"
341,"[u'telly', u'must', u'happy']","[u'oh', u'he', u'is', u'on', u'the', u'telly', u'he', u'must', u'be', u'happy', u'as', u'larry']"
342,"[u'my', u'heart', u'sink', u'great', u'world', u'spread', u'file', u'damp']","[u'my', u'heart', u'sinks', u'the', u'great', u'indefiniteness', u'of', u'the', u'world', u'is', u'spreading', u'through', u'the', u'files', u'like', u'damp']"
343,"[u'our', u'hockey', u'girl', u'jump', u'joy', u'score', u'goal', u'clinch', u'bronze', u'medal']","[u'our', u'hockey', u'girls', u'jump', u'for', u'joy', u'as', u'jane', u'sixsmith', u'scores', u'the', u'goal', u'that', u'clinched', u'a', u'bronze', u'medal']"
344,"[u'hear', u'music', u'ear', u'thank', u'say', u'word', u'move', u'amendment', u'pleased', u'hear', u'incorporate', u'one']","[u'chairman', u'all', u'i', u'have', u'heard', u'so', u'far', u'is', u'music', u'to', u'my', u'ears', u'er', u'thank', u'you', u'i', u'had', u'like', u'to', u'er', u'say', u'one', u'or', u'two', u'words', u'before', u'er', u'moving', u'the', u'amendment', u'and', u'i', u'i', u'am', u'very', u'pleased', u'to', u'to', u'hear', u'that', u'the', u'two', u'are', u'to', u'be', u'incorporated', u'as', u'it', u'were', u'into', u'this', u'one']"
345,[u'pleased'],"[u'he', u's', u'as', u'pleased', u'as', u'punch', u'about', u'it']"
346,"[u'lookalike', u'come', u'top', u'your', u'eye', u'programme', u'appear', u'tonight']","[u'maxine', u'barrie', u'the', u'shirley', u'bassey', u'lookalike', u'who', u'came', u'out', u'on', u'top', u'in', u'the', u'granada', u'tv', u'stars', u'in', u'your', u'eyes', u'programme', u'is', u'appearing', u'tonight', u'at', u'the', u'shotton', u'hall', u'banqueting', u'suite', u'peterlee', u'in', u'a', u'valentine', u's', u'night', u'special']"
347,[u'seventh'],"[u'she', u'was', u'in', u'seventh', u'heaven']"
348,"[u'good', u'thrill', u'bit', u'go']","[u'good', u'god', u'ur', u'susan', u'will', u'be', u'thrilled', u'to', u'bits', u'if', u'you', u'went', u'again']"
349,"[u'tickle', u'pink', u'yesterday', u'new']","[u'but', u'princess', u'di', u'was', u'tickled', u'pink', u'yesterday', u'by', u'this', u'new', u'portrait']"
350,"[u'top', u'world']","[u'anyway', u'she', u'is', u'on', u'top', u'of', u'the', u'world']"
351,"[u'walk', u'air']","[u'i', u'am', u'absolutely', u'walking', u'on', u'air']"
352,"[u'go', u'banana', u'expect']","[u'mark', u'll', u'go', u'bananas', u'i', u'expect']"
353,"[u'your', u'harebrained', u'go', u'chap']","[u'your', u'harebrained', u'idea', u'of', u'going', u'to', u'the', u'chap', u'instead', u'of', u'me']"
354,"[u'boy', u'manipulative', u'know', u'cunning', u'clever', u'know', u'know', 'not_used', 'not_am']","[u'no', u'but', u'i', u'am', u'not', u'used', u'to', u'all', u'the', u'boys', u'like', u'being', u'around', u'and', u'they', u'are', u'really', u'manipulative', u'you', u'know', u'and', u'they', u'really', u'they', u'are', u'really', u'cunning', u'and', u'clever', u'you', u'know', u'and', u'i', u'am', u'not', u'all', u'there', u'you', u'know']"
355,"[u'man', u'could', u'nuts', u'sit', u'wonder', u'might', u'happen']","[u'but', u'a', u'man', u'could', u'go', u'nuts', u'sitting', u'around', u'wondering', u'about', u'what', u'might', u'happen']"
356,"[u'lady', u'upright', u'say', u'screw', u'loose', u'bedroom', u'hold', u'steam', u'tray']","[u'the', u'lady', u'with', u'the', u'upright', u'hair', u'who', u'gloria', u'said', u'had', u'a', u'screw', u'loose', u'clattered', u'into', u'the', u'bedroom', u'holding', u'out', u'a', u'steaming', u'jug', u'on', u'a', u'tray']"
357,"[u'must', u'stir', u'crazy']","[u'you', u'must', u'be', u'stir', u'crazy']"
358,"[u'freudian', u'problem', u'owner', 'not_take']","[u'well', u'despite', u'that', u'freudian', u'slip', u'there', u'no', u'they', u'do', u'not', u'take', u'problem', u'owners']"
359,"[u'wide', u'mark', u'make', u'smile']","[u'he', u'was', u'so', u'wide', u'of', u'the', u'mark', u'that', u'it', u'made', u'her', u'smile']"
360,"[u'suppose', u'do', u'book', 'not_was']","[u'i', u'suppose', u'it', u'was', u'not', u'the', u'done', u'thing', u'for', u'a', u'book', u'of', u'rambles']"
361,"[u'watch', u'firework', u'gatecrash', u'party', u'minute']","[u'watch', u'for', u'the', u'fireworks', u'or', u'gatecrash', u'the', u'party', u'in', u'ten', u'minutes']"
362,"[u'my', u'attitude', u'block', u'know', u'overstep', u'mark', u'know', u'expect']","[u'my', u'attitude', u'on', u'the', u'block', u'was', u'they', u'know', u'what', u'they', u'are', u'there', u'for', u'if', u'they', u'overstep', u'the', u'mark', u'they', u'know', u'what', u'to', u'expect']"
363,"[u'pause', u'allow', u'time', u'speak', u'turn']","[u'the', u'marine', u'paused', u'as', u'if', u'to', u'allow', u'time', u'for', u'any', u'of', u'the', u'three', u'to', u'speak', u'out', u'of', u'turn']"
364,"[u'speak', u'vocal', u'cloudy']","[u'if', u'one', u'can', u'speak', u'of', u'a', u'vocal', u'achilles', u'heel', u'then', u'miss', u'roocroft', u's', u'is', u'still', u'her', u'cloudy', u'diction']"
365,"[u'news', u'oil', u'price', u'shoot', u'dollar', u'barrel', u'set', u'alarm', u'bell', u'ring', u'headquarters']","[u'the', u'news', u'that', u'oil', u'prices', u'had', u'shot', u'above', u'forty', u'dollars', u'a', u'barrel', u'set', u'alarm', u'bells', u'ringing', u'in', u'e', u'c', u'headquarters', u'in', u'brussels']"
366,"[u'bit', u'bridle', u'ball', u'chain', u'rope', u'tether']","[u'he', u's', u'bit', u'and', u'bridle', u'ball', u'and', u'chain', u'a', u'rope', u'to', u'tether', u'me', u'like', u'any', u'other', u'animal']"
